County,"All
Ages",15-19,15-17,18-19,20-24,25-29,30-34,35-39,40-44,,
Whitman2009,6.3,4.2,N,4.7,7.6,7.1,5.8,11.2,N,,
Yakima2009,16.6,18.7,14.0,26.5,34.3,21.8,11.6,6.7,2.1,,
State Total2008,17.9,18.8,11.2,30.3,34.2,24.5,15.5,9.6,3.3,,
Adams2008,8.3,10.8,N,19.0,14.6,8.2,N,N,N,,
Asotin2008,12.6,11.0,N,17.6,24.9,14.9,14.3,11.6,N,,
Benton2008,12.6,17.3,9.5,31.3,23.9,17.2,7.2,5.1,3.4,,
Chelan2008,12.5,13.5,8.5,22.3,22.8,17.8,10.9,6.0,2.2,,
Clallam2008,15.9,20.1,10.8,35.5,28.0,22.6,11.4,10.9,2.6,,
Clark2008,15.0,16.1,7.9,31.0,29.4,21.5,14.2,7.6,2.7,,
Columbia2008,10.1,N,N,N,N,N,N,N,N,,
Cowlitz2008,12.3,12.9,7.6,21.7,27.3,19.3,8.1,5.3,N,,
Douglas2008,7.3,7.9,6.3,11.1,15.7,9.0,9.3,N,N,,
Ferry2008,12.2,20.7,N,N,27.0,N,N,N,N,,
Franklin2008,13.5,16.1,10.6,25.1,27.6,17.4,10.5,4.5,N,,
Garfield2008,N,N,N,N,N,N,N,N,N,,
Grant2008,11.0,11.8,8.6,16.9,22.7,18.8,6.3,3.7,N,,
Grays Harbor2008,15.0,13.4,11.5,16.5,29.0,23.1,13.8,8.3,2.8,,
Island2008,13.6,14.6,3.9,35.5,30.7,16.3,8.0,7.2,3.4,,
Jefferson2008,21.0,17.0,10.6,29.5,29.4,36.8,31.5,15.3,N,,
King2008,21.0,21.9,13.2,34.4,39.4,28.4,19.2,12.5,4.6,,
Kitsap2008,14.3,16.9,9.0,30.4,28.7,19.6,11.0,6.6,2.8,,
Kittitas2008,13.1,16.0,8.2,19.6,15.2,17.4,9.7,9.8,N,,
Klickitat2008,7.4,N,N,N,21.3,13.5,N,N,N,,
Lewis2008,15.7,15.5,8.9,26.6,33.8,18.3,13.9,9.6,3.1,,
Lincoln2008,5.2,N,N,N,N,N,N,N,N,,
Mason2008,16.4,20.8,12.4,35.1,34.5,22.1,12.5,7.9,2.9,,
Okanogan2008,12.2,14.6,11.0,21.4,28.9,13.3,10.1,7.7,N,,
